"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250401","2호선","시청","31730","30459","20250404",""
"20250401","2호선","을지로입구","55089","57583","20250404",""
"20250401","2호선","을지로3가","27974","28001","20250404",""
"20250401","2호선","을지로4가","17026","17012","20250404",""
"20250401","2호선","동대문역사문화공원(DDP)","15742","18349","20250404",""
"20250401","2호선","신당","16285","16750","20250404",""
"20250401","2호선","상왕십리","16398","16250","20250404",""
"20250401","2호선","왕십리(성동구청)","17431","15366","20250404",""
"20250401","2호선","한양대","18819","20960","20250404",""
"20250401","2호선","뚝섬","28369","30008","20250404",""
"20250401","2호선","성수","51228","55455","20250404",""
"20250401","2호선","건대입구","38582","39419","20250404",""
"20250401","5호선","방화","7715","7486","20250404",""
"20250401","5호선","개화산","6857","6522","20250404",""
"20250401","5호선","김포공항","12464","7845","20250404",""
"20250401","5호선","송정","6923","6645","20250404",""
"20250401","5호선","마곡","14543","14611","20250404",""
"20250401","5호선","발산","26366","26603","20250404",""
"20250401","5호선","우장산","17015","17096","20250404",""
"20250401","5호선","화곡","31791","30078","20250404",""
"20250401","5호선","까치산","30735","29919","20250404",""
"20250401","5호선","신정(은행정)","15259","12364","20250404",""
"20250401","5호선","목동","18881","20844","20250404",""
"20250401","5호선","오목교(목동운동장앞)","23337","24853","20250404",""
"20250401","5호선","양평","9316","9141","20250404",""
"20250401","5호선","영등포구청","5777","5725","20250404",""
"20250401","5호선","영등포시장","13355","13388","20250404",""
"20250401","5호선","신길","5591","5796","20250404",""
"20250401","5호선","여의도","33785","35827","20250404",""
"20250401","5호선","여의나루","17238","19080","20250404",""
"20250401","5호선","마포","17126","17452","20250404",""
"20250401","5호선","공덕","17394","18293","20250404",""
"20250401","5호선","애오개","7552","7484","20250404",""
"20250401","5호선","충정로(경기대입구)","5969","6249","20250404",""
"20250401","5호선","서대문","24846","25033","20250404",""
"20250401","5호선","광화문(세종문화회관)","38885","40972","20250404",""
"20250401","5호선","종로3가","19193","16754","20250404",""
"20250401","5호선","을지로4가","7822","7859","20250404",""
"20250401","5호선","동대문역사문화공원(DDP)","3698","4126","20250404",""
"20250401","5호선","청구","4246","3899","20250404",""
"20250401","5호선","신금호","7407","7808","20250404",""
"20250401","5호선","행당","9051","8108","20250404",""
"20250401","5호선","왕십리(성동구청)","4892","5230","20250404",""
"20250401","5호선","마장","6761","6418","20250404",""
"20250401","5호선","답십리","18263","16854","20250404",""
"20250401","5호선","장한평","21675","21562","20250404",""
"20250401","5호선","군자(능동)","13321","14641","20250404",""
"20250401","5호선","아차산(어린이대공원후문)","16547","16281","20250404",""
"20250401","5호선","광나루(장신대)","13065","12602","20250404",""
"20250401","5호선","천호(풍납토성)","20910","20792","20250404",""
"20250401","5호선","강동","21112","20284","20250404",""
"20250401","5호선","길동","9849","10052","20250404",""
"20250401","5호선","굽은다리(강동구민회관앞)","10865","10316","20250404",""
"20250401","5호선","명일","9350","9260","20250404",""
"20250401","5호선","고덕","12260","12077","20250404",""
"20250401","5호선","상일동","16933","16104","20250404",""
"20250401","5호선","둔촌동","14378","14345","20250404",""
"20250401","5호선","올림픽공원(한국체대)","5722","4819","20250404",""
"20250401","5호선","방이","8142","8580","20250404",""
"20250401","5호선","오금","4405","4579","20250404",""
"20250401","5호선","개롱","7741","8053","20250404",""
"20250401","5호선","거여","11948","11665","20250404",""
"20250401","5호선","마천","8493","7577","20250404",""
"20250401","5호선","강일","7016","6463","20250404",""
"20250401","5호선","미사","19713","19958","20250404",""
"20250401","5호선","하남풍산","5246","5234","20250404",""
"20250401","5호선","하남시청(덕풍·신장)","9652","9240","20250404",""
"20250401","5호선","하남검단산","6946","6675","20250404",""
"20250401","6호선","응암","20095","20165","20250404",""
"20250401","6호선","역촌","4136","5050","20250404",""
"20250401","6호선","불광","5017","5028","20250404",""
"20250401","6호선","독바위","3055","3190","20250404",""
"20250401","6호선","연신내","1","0","20250404",""
"20250401","6호선","구산","9385","7271","20250404",""
"20250401","6호선","새절(신사)","14800","14021","20250404",""
"20250401","6호선","증산(명지대앞)","10784","10967","20250404",""
"20250401","6호선","디지털미디어시티","17279","18752","20250404",""
"20250401","6호선","월드컵경기장(성산)","4542","4660","20250404",""
"20250401","6호선","마포구청","16620","15295","20250404",""
"20250401","6호선","망원","16874","17737","20250404",""
"20250401","6호선","합정","14451","14327","20250404",""
"20250401","6호선","상수","11411","12555","20250404",""
"20250401","6호선","광흥창(서강)","11126","10748","20250404",""
"20250401","6호선","대흥(서강대앞)","11883","12362","20250404",""
"20250401","6호선","공덕","22556","21891","20250404",""
"20250401","6호선","효창공원앞","9031","8635","20250404",""
"20250401","6호선","삼각지","8724","7645","20250404",""
"20250401","6호선","녹사평(용산구청)","5620","5645","20250404",""
"20250401","2호선","이대","21345","23416","20250404",""
"20250401","2호선","아현","12330","11635","20250404",""
"20250401","2호선","충정로(경기대입구)","11817","12656","20250404",""
"20250401","2호선","신답","1815","1977","20250404",""
"20250401","2호선","신설동","3858","3779","20250404",""
"20250401","2호선","도림천","1510","1618","20250404",""
"20250401","2호선","양천구청","7921","8394","20250404",""
"20250401","6호선","이태원","11245","11638","20250404",""
"20250401","6호선","한강진","10862","12665","20250404",""
